model,category,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Llama-3.2-3B-Instruct,ideology,negpos,negative,0,0.9983650315702355,0.00019158449617150285,50,5000,2.7094139282615564e-05
Llama-3.2-3B-Instruct,ideology,negpos,negative,1,0.9975589224536199,0.0001717105721937895,50,5000,2.4283541999930154e-05
Llama-3.2-3B-Instruct,ideology,negpos,negative,2,0.9957651353360343,0.00019477949454846114,50,5000,2.7545980286261007e-05
Llama-3.2-3B-Instruct,ideology,negpos,negative,3,0.9832410718154313,0.0007164042067132144,50,5000,0.0001013148545274966
Llama-3.2-3B-Instruct,ideology,negpos,negative,4,0.936684298928333,0.0022084307613873064,50,5000,0.0003123192734315869
Llama-3.2-3B-Instruct,ideology,negpos,negative,5,0.8970551375992936,0.0030318298209581103,50,5000,0.0004287654851606152
Llama-3.2-3B-Instruct,ideology,negpos,negative,6,0.8335808846017533,0.00728990331589524,50,5000,0.0010309480137727645
Llama-3.2-3B-Instruct,ideology,negpos,negative,7,0.7825280949317285,0.009758398899029835,50,5000,0.001380046007005467
Llama-3.2-3B-Instruct,ideology,negpos,negative,8,0.7220037138973613,0.010279382341052138,50,5000,0.001453724191953443
Llama-3.2-3B-Instruct,ideology,negpos,negative,9,0.692520755833621,0.01015768120733285,50,5000,0.001436513052567243
Llama-3.2-3B-Instruct,ideology,negpos,negative,10,0.64828064476414,0.01307237352044359,50,5000,0.0018487127925018245
Llama-3.2-3B-Instruct,ideology,negpos,negative,11,0.6625249725854172,0.01170883786309296,50,5000,0.0016558797305613671
Llama-3.2-3B-Instruct,ideology,negpos,negative,12,0.6155171456035898,0.01772278806304634,50,5000,0.0025063807241824127
Llama-3.2-3B-Instruct,ideology,negpos,negative,13,0.6114135511473163,0.021438663393100774,50,5000,0.003031884852967471
Llama-3.2-3B-Instruct,ideology,negpos,negative,14,0.6263851875339502,0.02155297584114649,50,5000,0.0030480510744049032
