model,category,concat_variant,reference_variant,mean_cos,std_across_pair_layers,n_pairs,n_layers,n_rows_total
Llama-3.2-3B-Instruct,ideology,negpos,negative,0.7194103415852529,0.149199272168019,50,28,140000
Llama-3.2-3B-Instruct,ideology,negpos,positive,0.7071420461520531,0.15396834460673228,50,28,140000
Llama-3.2-3B-Instruct,ideology,posneg,negative,0.70814393461275,0.15724705374817538,50,28,140000
Llama-3.2-3B-Instruct,ideology,posneg,positive,0.7199175939325423,0.14528348385929957,50,28,140000
Llama-3.2-3B-Instruct,linguistic_style,negpos,negative,0.7273206926064991,0.15874592446623845,50,28,140000
Llama-3.2-3B-Instruct,linguistic_style,negpos,positive,0.7031967473950187,0.17424716677036003,50,28,140000
Llama-3.2-3B-Instruct,linguistic_style,posneg,negative,0.7122850903264683,0.16930131232891557,50,28,140000
Llama-3.2-3B-Instruct,linguistic_style,posneg,positive,0.7154482583845106,0.1643002954026918,50,28,140000
Llama-3.2-3B-Instruct,semantic_framing,negpos,negative,0.7130114372086334,0.15803777253038312,50,28,140000
Llama-3.2-3B-Instruct,semantic_framing,negpos,positive,0.6922601586135235,0.17152054680431045,50,28,140000
Llama-3.2-3B-Instruct,semantic_framing,posneg,negative,0.6953528686059902,0.17120955145640773,50,28,140000
Llama-3.2-3B-Instruct,semantic_framing,posneg,positive,0.7119900454808911,0.15548502682776255,50,28,140000
Qwen2.5-1.5B-Instruct,ideology,negpos,negative,0.9983265137134065,0.0006821537095107118,50,28,140000
Qwen2.5-1.5B-Instruct,ideology,negpos,positive,0.9981986205112774,0.0007414279281555099,50,28,140000
Qwen2.5-1.5B-Instruct,ideology,posneg,negative,0.9983108367302919,0.000694283776542473,50,28,140000
Qwen2.5-1.5B-Instruct,ideology,posneg,positive,0.9982074287940744,0.0007309913692363848,50,28,140000
Qwen2.5-1.5B-Instruct,linguistic_style,negpos,negative,0.9980330197812377,0.0007759210427579242,50,28,140000
Qwen2.5-1.5B-Instruct,linguistic_style,negpos,positive,0.997853017777467,0.0008865977833482602,50,28,140000
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,negative,0.997961767244087,0.0007937420906871212,50,28,140000
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,0.9979321930918892,0.0008386663105773745,50,28,140000
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,0.9982244904079879,0.0006736464706334264,50,28,140000
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,0.9981407327062561,0.0007299582847910184,50,28,140000
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,0.9981848799315854,0.000687493875791392,50,28,140000
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,0.9981624777033369,0.0007174693902282462,50,28,140000
Qwen2.5-3B-Instruct,ideology,negpos,negative,0.9982767330502984,0.0011473978879472972,50,36,180000
Qwen2.5-3B-Instruct,ideology,negpos,positive,0.9983699497009833,0.0010986207085940773,50,36,180000
Qwen2.5-3B-Instruct,ideology,posneg,negative,0.9982677940472029,0.0011413867502766963,50,36,180000
Qwen2.5-3B-Instruct,ideology,posneg,positive,0.9983841364828535,0.0010857785659787477,50,36,180000
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,0.9979084127610186,0.0014715141014228603,50,36,180000
Qwen2.5-3B-Instruct,linguistic_style,negpos,positive,0.9978231595343243,0.001480793050968157,50,36,180000
Qwen2.5-3B-Instruct,linguistic_style,posneg,negative,0.9978062397018376,0.0015716154861214807,50,36,180000
Qwen2.5-3B-Instruct,linguistic_style,posneg,positive,0.997868929026073,0.001480875345431101,50,36,180000
Qwen2.5-3B-Instruct,semantic_framing,negpos,negative,0.9981762696223749,0.0012696830329947382,50,36,180000
Qwen2.5-3B-Instruct,semantic_framing,negpos,positive,0.9982387862874628,0.0012019633898779903,50,36,180000
Qwen2.5-3B-Instruct,semantic_framing,posneg,negative,0.9981483234671898,0.0012829093238320255,50,36,180000
Qwen2.5-3B-Instruct,semantic_framing,posneg,positive,0.9982545296841816,0.0012009090071193862,50,36,180000
