model,category,pair_slug,concat_variant,reference_variant,mean_cos,std_across_layers,n_layers,n_rows_total,pair_overall_mean
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,0.7196305463130654,0.15000242494276284,28,2800,0.7165682035483713
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,0.6972972748505756,0.1616261285310898,28,2800,0.7165682035483713
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,negative,0.7250274250175822,0.1459459064664262,28,2800,0.7165682035483713
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,0.7243175680122617,0.14260071005511304,28,2800,0.7165682035483713
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,negative,0.6841299318636772,0.17370549496793014,28,2800,0.6805989385910514
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,negpos,positive,0.6724049809134118,0.17798151984460997,28,2800,0.6805989385910514
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,negative,0.6657952321673216,0.1886054877245202,28,2800,0.6805989385910514
Llama-3.2-3B-Instruct,ideology,ideology__collective_benefit__personal_benefit,posneg,positive,0.7000656094197948,0.1587822025833503,28,2800,0.6805989385910514
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,negative,0.7027086175692862,0.16342144828936453,28,2800,0.7099788698868295
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,negpos,positive,0.709309555475026,0.1557199192133078,28,2800,0.7099788698868295
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,negative,0.6884420426825265,0.17514645161012155,28,2800,0.7099788698868295
Llama-3.2-3B-Instruct,ideology,ideology__collective_responsibility__individual_responsibility,posneg,positive,0.7394552638204793,0.1356964733905658,28,2800,0.7099788698868295
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,negative,0.7267226100119698,0.1459854862201464,28,2800,0.7116648185474684
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,negpos,positive,0.7003222256338788,0.16330814930290027,28,2800,0.7116648185474684
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,posneg,negative,0.7109529740680107,0.1567084598313186,28,2800,0.7116648185474684
Llama-3.2-3B-Instruct,ideology,ideology__collective_security__civil_liberty,posneg,positive,0.7086614644760144,0.1553852331734991,28,2800,0.7116648185474684
Llama-3.2-3B-Instruct,ideology,ideology__collective_welfare__individual_liberty,negpos,negative,0.7050715448730742,0.16248824182674762,28,2800,0.7001368716607121
Llama-3.2-3B-Instruct,ideology,ideology__collective_welfare__individual_liberty,negpos,positive,0.6892351559381779,0.17002385664013353,28,2800,0.7001368716607121
Llama-3.2-3B-Instruct,ideology,ideology__collective_welfare__individual_liberty,posneg,negative,0.6948686045261357,0.1710706060134123,28,2800,0.7001368716607121
