model,concat_variant,layer,positive_minus_negative,std_across_pairs,n_pairs,sem_across_pairs
Llama-3.2-3B-Instruct,negpos,0,-0.000802142548536291,0.0003826682699622511,150,3.124473340537061e-05
Llama-3.2-3B-Instruct,negpos,1,-0.0008433898992825761,0.0003362172789331015,150,2.7452025869770092e-05
Llama-3.2-3B-Instruct,negpos,2,-0.001049125817154742,0.00032802070144410326,150,2.6782778120262473e-05
Llama-3.2-3B-Instruct,negpos,3,-0.005621223753257777,0.000866089423993051,150,7.071590534679898e-05
Llama-3.2-3B-Instruct,negpos,4,-0.010281821179289725,0.0024394412947188636,150,0.00019917954765118575
Llama-3.2-3B-Instruct,negpos,5,-0.01584801282520013,0.004660163219470127,150,0.0003805007335262503
Llama-3.2-3B-Instruct,negpos,6,-0.014427981586065943,0.005717286725448566,150,0.0004668145063512229
Llama-3.2-3B-Instruct,negpos,7,-0.009291318838529383,0.009355708024222694,150,0.0007638903613935921
Llama-3.2-3B-Instruct,negpos,8,-0.009114541211722893,0.01226450736313415,150,0.0010013928328761956
Llama-3.2-3B-Instruct,negpos,9,0.002950675544143792,0.016634031432663322,150,0.0013581629791813927
Llama-3.2-3B-Instruct,negpos,10,0.007399105000851515,0.01964521694440167,150,0.0016040252466687395
Llama-3.2-3B-Instruct,negpos,11,0.0013968523083187404,0.017615990426484734,150,0.001438339595288034
Llama-3.2-3B-Instruct,negpos,12,-0.006497573444418203,0.027189496555970773,150,0.0022200130975096317
Llama-3.2-3B-Instruct,negpos,13,-0.019475824987415735,0.03928675298375941,150,0.0032077499486991698
Llama-3.2-3B-Instruct,negpos,14,-0.026857812885997916,0.04452579370510779,150,0.003635515832331378
Llama-3.2-3B-Instruct,negpos,15,-0.03400197100258826,0.04900762967728652,150,0.00400145620708766
Llama-3.2-3B-Instruct,negpos,16,-0.03778997011878943,0.05874983186079326,150,0.004796903684441648
Llama-3.2-3B-Instruct,negpos,17,-0.03230393012163223,0.05792323290652626,150,0.0047294121624459045
Llama-3.2-3B-Instruct,negpos,18,-0.03425048131447727,0.0626218300308077,150,0.005113051011159169
Llama-3.2-3B-Instruct,negpos,19,-0.037943429863654586,0.06291832341900123,150,0.005137259594931938
Llama-3.2-3B-Instruct,negpos,20,-0.039829705538189604,0.06465421639287976,150,0.005278994662734766
Llama-3.2-3B-Instruct,negpos,21,-0.03985995602134377,0.06616116444249512,150,0.00540203645574943
Llama-3.2-3B-Instruct,negpos,22,-0.037874265786212426,0.06410992251319927,150,0.005234553253556866
Llama-3.2-3B-Instruct,negpos,23,-0.0390407985355375,0.06554029493711637,150,0.005351342672915027
Llama-3.2-3B-Instruct,negpos,24,-0.03382267062985124,0.05968341465119607,150,0.004873130400079335
Llama-3.2-3B-Instruct,negpos,25,-0.02978019976396896,0.05316833923013727,150,0.004341176719501257
Llama-3.2-3B-Instruct,negpos,26,-0.017268839843287663,0.03396153793481329,150,0.0027729479606822317
Llama-3.2-3B-Instruct,negpos,27,-0.011209158241618397,0.028082621040296945,150,0.0022929364062891475
Llama-3.2-3B-Instruct,posneg,0,-0.0008412264845234726,0.00038081142008111166,150,3.109312224744597e-05
Llama-3.2-3B-Instruct,posneg,1,-0.0008686220637941955,0.0003304731914759449,150,2.6983023092838272e-05
Llama-3.2-3B-Instruct,posneg,2,-0.0009614180532203546,0.0003210024277554102,150,2.6209738473179182e-05
Llama-3.2-3B-Instruct,posneg,3,-0.00515621508431232,0.0009715497379793894,150,7.932670392613996e-05
Llama-3.2-3B-Instruct,posneg,4,-0.009155988968526537,0.0025770831759857602,150,0.00021041796019587386
Llama-3.2-3B-Instruct,posneg,5,-0.014444992936167935,0.004632981386155964,150,0.00037828134612981416
Llama-3.2-3B-Instruct,posneg,6,-0.012665193827492314,0.005876377537127343,150,0.0004798042167304967
Llama-3.2-3B-Instruct,posneg,7,-0.007105852429789012,0.009361321851798127,150,0.000764348728495718
Llama-3.2-3B-Instruct,posneg,8,-0.008393668990059024,0.013016992077772821,150,0.0010628329525464806
Llama-3.2-3B-Instruct,posneg,9,0.0019269691337553741,0.016221116037499542,150,0.0013244485783450279
Llama-3.2-3B-Instruct,posneg,10,0.007304128997345846,0.019946112616009003,150,0.0016285932753770732
Llama-3.2-3B-Instruct,posneg,11,0.0013306026657037996,0.01743713395395663,150,0.001423736025458435
Llama-3.2-3B-Instruct,posneg,12,0.005079743848759507,0.026806941317841726,150,0.002188777593114796
Llama-3.2-3B-Instruct,posneg,13,0.021921529444806895,0.041035486338302944,150,0.0033505334291930766
Llama-3.2-3B-Instruct,posneg,14,0.016468264965857998,0.045211417801670435,150,0.003691496805395884
Llama-3.2-3B-Instruct,posneg,15,0.019716947593318032,0.04975310317480693,150,0.004062323863277425
Llama-3.2-3B-Instruct,posneg,16,0.01922860104909329,0.057228623495019046,150,0.0046726975414883186
Llama-3.2-3B-Instruct,posneg,17,0.02115095149679371,0.056373902160106994,150,0.004602909836728151
Llama-3.2-3B-Instruct,posneg,18,0.023507402859929468,0.06008053702417265,150,0.004905555306053863
Llama-3.2-3B-Instruct,posneg,19,0.021509783738524392,0.06105420635613299,150,0.004985055074103842
Llama-3.2-3B-Instruct,posneg,20,0.02235765995004687,0.06294452410036064,150,0.005139398871606731
Llama-3.2-3B-Instruct,posneg,21,0.02630327770028993,0.0645884562108659,150,0.005273625366357216
Llama-3.2-3B-Instruct,posneg,22,0.02851433462465883,0.06345253638618421,150,0.005180877901051154
Llama-3.2-3B-Instruct,posneg,23,0.028846631817106037,0.06472301124042482,150,0.005284611738515364
Llama-3.2-3B-Instruct,posneg,24,0.029910067344645352,0.058931805759715704,150,0.004811761791070474
Llama-3.2-3B-Instruct,posneg,25,0.02533508060524607,0.051445443370867046,150,0.004200502861662389
Llama-3.2-3B-Instruct,posneg,26,0.01841526670922511,0.0331600682714666,150,0.002707508236698245
Llama-3.2-3B-Instruct,posneg,27,0.015456640651642444,0.026333901779723584,150,0.0021501540765630866
Qwen2.5-1.5B-Instruct,negpos,0,-8.251901315557308e-05,8.919217191290356e-05,150,7.282510341240371e-06
Qwen2.5-1.5B-Instruct,negpos,1,-0.0001392917193768565,0.00010331599692284966,150,8.435715824264621e-06
Qwen2.5-1.5B-Instruct,negpos,2,-0.00018660286105322442,0.0001021940767877633,150,8.344111428827423e-06
Qwen2.5-1.5B-Instruct,negpos,3,-0.00035113613692048905,6.56804963517477e-05,150,5.3627900704837984e-06
Qwen2.5-1.5B-Instruct,negpos,4,-0.00035405660322985013,6.922903702648097e-05,150,5.652527203304066e-06
Qwen2.5-1.5B-Instruct,negpos,5,-0.0002467216496859444,0.0001001737281877604,150,8.179150656408973e-06
Qwen2.5-1.5B-Instruct,negpos,6,-0.00023456811136702763,9.054824208201787e-05,150,7.3932330068983634e-06
Qwen2.5-1.5B-Instruct,negpos,7,-0.00023109266622078534,0.00011124846741422717,150,9.083399327716603e-06
Qwen2.5-1.5B-Instruct,negpos,8,-0.00022373259417492427,0.00012442492166717543,150,1.0159252312344888e-05
Qwen2.5-1.5B-Instruct,negpos,9,-0.00020241265927845994,0.00016360258035488613,150,1.3358094749071808e-05
Qwen2.5-1.5B-Instruct,negpos,10,-0.0001066319472714139,0.00011873297133937622,150,9.694506514199036e-06
Qwen2.5-1.5B-Instruct,negpos,11,-5.512796464914575e-05,0.00014226790970447712,150,1.1616126184944003e-05
Qwen2.5-1.5B-Instruct,negpos,12,-3.3637505419418603e-06,0.0001247500390126928,150,1.0185798032446411e-05
Qwen2.5-1.5B-Instruct,negpos,13,-2.2051220620988115e-05,0.00022452403306809964,150,1.8332310533620706e-05
Qwen2.5-1.5B-Instruct,negpos,14,1.4594766051431544e-05,0.00027371054598717776,150,2.2348372496239176e-05
Qwen2.5-1.5B-Instruct,negpos,15,1.0569283122160063e-06,0.0002758694158131679,150,2.2524643479398075e-05
Qwen2.5-1.5B-Instruct,negpos,16,1.5492636286832766e-06,0.00025638041153395774,150,2.0933372943431983e-05
Qwen2.5-1.5B-Instruct,negpos,17,-2.7054282171793027e-05,0.00023657306601700405,150,1.9316109954247302e-05
Qwen2.5-1.5B-Instruct,negpos,18,-9.580724598750182e-05,0.0002593228829747824,150,2.1173624730523066e-05
Qwen2.5-1.5B-Instruct,negpos,19,-5.21964679313173e-05,0.0001981302300414143,150,1.617726554072386e-05
Qwen2.5-1.5B-Instruct,negpos,20,-4.59203916970985e-05,0.00018706176968705737,150,1.5273529537177207e-05
Qwen2.5-1.5B-Instruct,negpos,21,-3.5792768983556504e-05,0.00014987019099855587,150,1.2236849853330614e-05
Qwen2.5-1.5B-Instruct,negpos,22,-0.00010731498672142959,0.00019091883925230086,150,1.558845794841938e-05
Qwen2.5-1.5B-Instruct,negpos,23,-9.223454226717627e-05,0.0001663812401879825,150,1.3584971374400247e-05
Qwen2.5-1.5B-Instruct,negpos,24,-9.350989787499265e-05,0.00014198370073538496,150,1.1592920619790728e-05
Qwen2.5-1.5B-Instruct,negpos,25,-0.0001063377311474234,0.0001435188697978013,150,1.1718266648851625e-05
Qwen2.5-1.5B-Instruct,negpos,26,-0.00012109517748569424,0.00015708888161314677,150,1.2826253473889466e-05
Qwen2.5-1.5B-Instruct,negpos,27,-0.0004560557060733957,0.000787439980271153,150,6.429420515771925e-05
Qwen2.5-1.5B-Instruct,posneg,0,-8.549014890379958e-05,9.101272661170588e-05,150,7.4311580099367716e-06
Qwen2.5-1.5B-Instruct,posneg,1,-0.000138675865523612,0.00010652157887666045,150,8.697450494781634e-06
Qwen2.5-1.5B-Instruct,posneg,2,-0.00018121866360964873,0.00010467085364859898,150,8.546339412686747e-06
Qwen2.5-1.5B-Instruct,posneg,3,-0.0003352215616268787,6.730424067333012e-05,150,5.495368239171083e-06
Qwen2.5-1.5B-Instruct,posneg,4,-0.0003370762403719178,6.98629589443996e-05,150,5.704286711159637e-06
Qwen2.5-1.5B-Instruct,posneg,5,-0.00022961993190086626,0.0001022074838754389,150,8.345206112952154e-06
Qwen2.5-1.5B-Instruct,posneg,6,-0.00021865441479936558,9.2579326539949e-05,150,7.559070358445984e-06
Qwen2.5-1.5B-Instruct,posneg,7,-0.0002058247184509391,0.0001158915328768596,150,9.462504035242902e-06
Qwen2.5-1.5B-Instruct,posneg,8,-0.0001967697234951545,0.00012860439224883158,150,1.0500504656345913e-05
Qwen2.5-1.5B-Instruct,posneg,9,-0.0001659008098626861,0.00016903525579989965,150,1.3801670841686164e-05
Qwen2.5-1.5B-Instruct,posneg,10,-6.907157730679254e-05,0.00012228351866298623,150,9.984407489214004e-06
Qwen2.5-1.5B-Instruct,posneg,11,-1.8083865001683464e-07,0.0001227168314258047,150,1.0019787328145366e-05
Qwen2.5-1.5B-Instruct,posneg,12,5.512680501652989e-05,0.00010219515724619792,150,8.344199647889194e-06
Qwen2.5-1.5B-Instruct,posneg,13,8.414865589611908e-05,0.00017868592898635717,150,1.458964500772551e-05
Qwen2.5-1.5B-Instruct,posneg,14,0.00013271489171330807,0.00021676493020028002,150,1.7698782437356583e-05
Qwen2.5-1.5B-Instruct,posneg,15,0.000116327736626692,0.00023582345835648335,150,1.9254904745062064e-05
Qwen2.5-1.5B-Instruct,posneg,16,0.00010286521846499956,0.00021269755063483818,150,1.7366682286504725e-05
Qwen2.5-1.5B-Instruct,posneg,17,6.17309885374473e-05,0.00020419734430772728,150,1.6672643346178098e-05
Qwen2.5-1.5B-Instruct,posneg,18,5.3425771608187254e-05,0.00022014619236678345,150,1.7974861337173614e-05
Qwen2.5-1.5B-Instruct,posneg,19,4.0527478620868694e-05,0.00016478548699675393,150,1.3454678671935985e-05
Qwen2.5-1.5B-Instruct,posneg,20,4.125436351274529e-05,0.0001562621481339049,150,1.275875096797552e-05
Qwen2.5-1.5B-Instruct,posneg,21,3.5664509598247e-05,0.00012772576634739597,150,1.0428765151902242e-05
Qwen2.5-1.5B-Instruct,posneg,22,2.7649702750455568e-05,0.00016616346626888287,150,1.3567190208364239e-05
Qwen2.5-1.5B-Instruct,posneg,23,1.5778006926434605e-05,0.00014438260624006962,150,1.17887904340451e-05
Qwen2.5-1.5B-Instruct,posneg,24,9.824696004144448e-06,0.0001218063438493928,150,9.945446328833617e-06
Qwen2.5-1.5B-Instruct,posneg,25,-6.3272305019449844e-06,0.0001232021756843993,150,1.0059415520916906e-05
Qwen2.5-1.5B-Instruct,posneg,26,2.980896125251616e-06,0.0001409465465613497,150,1.1508237336091258e-05
Qwen2.5-1.5B-Instruct,posneg,27,-6.024161859407462e-05,0.000707948395384116,150,5.7803744430440064e-05
Qwen2.5-3B-Instruct,negpos,0,-5.442017417942073e-05,1.4763533154293593e-05,150,1.2054374342893846e-06
Qwen2.5-3B-Instruct,negpos,1,-7.671179348061645e-05,3.694189706670841e-05,150,3.0162932647951407e-06
Qwen2.5-3B-Instruct,negpos,2,-9.386127039918628e-05,3.747390854165267e-05,150,3.059731819825771e-06
Qwen2.5-3B-Instruct,negpos,3,-0.00014678325491429184,5.1186108576036367e-05,150,4.179328264332905e-06
Qwen2.5-3B-Instruct,negpos,4,-0.00019378373144824713,5.923429370107271e-05,150,4.836459828059461e-06
Qwen2.5-3B-Instruct,negpos,5,-0.00015464953531318492,5.4133386389746463e-05,150,4.419972490126748e-06
Qwen2.5-3B-Instruct,negpos,6,-0.00014484279067360494,5.2636487248480904e-05,150,4.297751187043051e-06
Qwen2.5-3B-Instruct,negpos,7,-0.00012455347177572277,4.681519858010602e-05,150,3.82244495761091e-06
Qwen2.5-3B-Instruct,negpos,8,-0.00012693032155778624,4.766009048276586e-05,150,3.891430092588438e-06
Qwen2.5-3B-Instruct,negpos,9,-0.00011491767819229004,4.8462418720136544e-05,150,3.956939918847931e-06
Qwen2.5-3B-Instruct,negpos,10,-0.00011244550007868244,5.1007683334268633e-05,150,4.164759904347449e-06
Qwen2.5-3B-Instruct,negpos,11,-8.855234962868626e-05,4.7143538984907154e-05,150,3.849253839400966e-06
Qwen2.5-3B-Instruct,negpos,12,-7.721321380756763e-05,4.544535093245459e-05,150,3.710597365540982e-06
Qwen2.5-3B-Instruct,negpos,13,-4.7716359895633906e-05,6.123031738377431e-05,150,4.999434479297123e-06
Qwen2.5-3B-Instruct,negpos,14,-1.5808103801799125e-05,7.468641567996993e-05,150,6.098120304444236e-06
Qwen2.5-3B-Instruct,negpos,15,2.1164582418032503e-05,8.054065721471258e-05,150,6.576117124148482e-06
Qwen2.5-3B-Instruct,negpos,16,6.70583893916595e-05,9.951849985851945e-05,150,8.125651487353752e-06
Qwen2.5-3B-Instruct,negpos,17,0.00012544355524650718,0.00013129764096754597,150,1.0720407493387741e-05
Qwen2.5-3B-Instruct,negpos,18,0.00023226866700016836,0.00018623466901928425,150,1.520599705044523e-05
Qwen2.5-3B-Instruct,negpos,19,0.00019157366586363726,0.00018866714985606582,150,1.5404608279085667e-05
Qwen2.5-3B-Instruct,negpos,20,0.00025012593441189185,0.0002339007153718311,150,1.909791343776493e-05
Qwen2.5-3B-Instruct,negpos,21,0.00021110672539511599,0.00030943138982498115,150,2.5264967182381148e-05
Qwen2.5-3B-Instruct,negpos,22,0.00015315385615230086,0.0002699650170645973,150,2.204255134033389e-05
