model,category,pair_slug,concat_variant,reference_variant,layer,mean_cos,std_cos,n_rows
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,0,0.9978267143723544,0.0011935858028989006,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,1,0.9969520223259661,0.0012247125812111454,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,2,0.9949292013734703,0.0014107074509718837,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,3,0.9775915403638642,0.004652254539936642,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,4,0.9238026419619715,0.023373750573976813,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,5,0.8792027109995822,0.04909031346961231,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,6,0.824292647969026,0.08784775846758476,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,7,0.7765298913858822,0.11740710717580967,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,8,0.7145579715383781,0.1328626276394572,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,9,0.682261398186577,0.14310186676804326,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,10,0.6335399582773095,0.15687214943595945,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,11,0.638627505634436,0.1176638262892936,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,12,0.5890793774534552,0.11677165773325826,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,13,0.5670488481040858,0.09558095015832883,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,14,0.5842362204083913,0.08436138181642888,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,15,0.5584361645672034,0.09025033225178264,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,16,0.5585891464955076,0.09032674792868244,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,17,0.5822592975655092,0.08695455749041675,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,18,0.5655660319980318,0.08961392923478284,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,19,0.5559272752854346,0.08993974518222343,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,20,0.560329100078524,0.096869984952873,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,21,0.5540436895324778,0.10141930391312295,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,22,0.5521062949539914,0.09470586364134052,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,23,0.5469940864829907,0.09904334863537083,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,24,0.5815129948002378,0.08582436662819755,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,25,0.613109633684889,0.07599985564197978,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,26,0.7259887521158747,0.060241551321451835,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,positive,27,0.7889825779006929,0.042199676879961574,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,0,0.9984566541624416,0.0006500352241679706,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,1,0.9976255162528771,0.0008772153982873985,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,2,0.9958621352996434,0.0012859551198700823,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,3,0.9833885690640691,0.004040228601217771,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,4,0.935790756527893,0.02140389746310942,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,5,0.8980855139746875,0.041622945731800975,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,6,0.8415140585310863,0.08210401559161555,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,7,0.7931692022644186,0.1121133287515981,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,8,0.7304509737414095,0.12884923764096637,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,9,0.6960785280819212,0.14326684379959015,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,10,0.6559754107602623,0.15661400541462733,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,11,0.6602671818981062,0.13118013950509227,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,12,0.6144731423895522,0.13505600302538395,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,13,0.611097719742348,0.12749422376570754,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,14,0.641043070490574,0.11583883604409699,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,15,0.60979507266884,0.1144468726452999,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,16,0.604816026211976,0.11318877800336237,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,17,0.6226217575149302,0.10439856228486626,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,18,0.5996444351067328,0.10951430677511659,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,19,0.5850461893037626,0.10911791341636469,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,20,0.5870617726633345,0.10979240994606068,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,21,0.5785267650965846,0.11575159997167744,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,22,0.5836195378101396,0.11731046259653109,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,23,0.5747676893129178,0.1184079451757414,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,24,0.6016086294971417,0.10632067122533066,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,25,0.6325904280786631,0.0981932298684172,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,26,0.7271587737104694,0.06929848875899457,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,27,0.7891197866090492,0.05377638740097491,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,0,0.9978279927506903,0.0011911068997067914,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,1,0.9969675987134176,0.00121828180347491,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,2,0.9949808294512432,0.001413199119869315,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,3,0.9779398100935488,0.004701290821149319,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,4,0.9233677606586026,0.02375167798938374,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,5,0.8777436193976476,0.05024588244793441,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,6,0.8223217778102768,0.09002407761266973,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,7,0.7750296672229272,0.11985001718065366,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,8,0.7133622442411566,0.1355284914142424,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,9,0.6847773064378212,0.14788904618183418,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,posneg,positive,10,0.6352669677668132,0.16335961217197478,100
