model,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Llama-3.2-3B-Instruct,negpos,negative,0,0.9983777495117507,0.0002770594461060143,150,15000,2.2621809045929025e-05
Llama-3.2-3B-Instruct,negpos,negative,1,0.9975572695021397,0.00026158032884517594,150,15000,2.1357944414003638e-05
Llama-3.2-3B-Instruct,negpos,negative,2,0.9957276041149087,0.0002605659072245037,150,15000,2.1275117235513834e-05
Llama-3.2-3B-Instruct,negpos,negative,3,0.9820027952911674,0.0013888181871331068,150,15000,0.00011339653013244244
Llama-3.2-3B-Instruct,negpos,negative,4,0.9331014415146722,0.003708954488566516,150,15000,0.0003028348658731103
Llama-3.2-3B-Instruct,negpos,negative,5,0.8963920499291432,0.004552892495903098,150,15000,0.0003717421156236381
Llama-3.2-3B-Instruct,negpos,negative,6,0.843159241163666,0.012314277026182024,150,15000,0.0010054565088474469
Llama-3.2-3B-Instruct,negpos,negative,7,0.7981812451759787,0.01968845329672472,150,15000,0.001607555480053095
Llama-3.2-3B-Instruct,negpos,negative,8,0.7469783700085948,0.028744049302459707,150,15000,0.002346941797747634
Llama-3.2-3B-Instruct,negpos,negative,9,0.7175241101273351,0.030549308857547783,150,15000,0.002494340623189286
Llama-3.2-3B-Instruct,negpos,negative,10,0.6822988273463836,0.03947975847939919,150,15000,0.003223508781428184
Llama-3.2-3B-Instruct,negpos,negative,11,0.694633513491763,0.03832312436126119,150,15000,0.0031290700011437807
Llama-3.2-3B-Instruct,negpos,negative,12,0.6373065168811844,0.03707333407324173,150,15000,0.003027025051439324
Llama-3.2-3B-Instruct,negpos,negative,13,0.6269161255093718,0.03983471482691589,150,15000,0.0032524908458407818
Llama-3.2-3B-Instruct,negpos,negative,14,0.6349026897177028,0.037953983615906524,150,15000,0.0030989297854974607
Llama-3.2-3B-Instruct,negpos,negative,15,0.6106557288095652,0.0412754684459744,150,15000,0.0033701278862328338
Llama-3.2-3B-Instruct,negpos,negative,16,0.6047510109671215,0.04682096613765583,150,15000,0.0038229158767128825
Llama-3.2-3B-Instruct,negpos,negative,17,0.6153359174418459,0.04651046604082451,150,15000,0.0037975636499688326
Llama-3.2-3B-Instruct,negpos,negative,18,0.5944498070209523,0.05036586266052763,150,15000,0.004112355465779623
Llama-3.2-3B-Instruct,negpos,negative,19,0.5804859460557744,0.05346786646549801,150,15000,0.004365633015857935
Llama-3.2-3B-Instruct,negpos,negative,20,0.5726454867839151,0.0556417714827596,150,15000,0.004543131617243507
Llama-3.2-3B-Instruct,negpos,negative,21,0.5614648736414083,0.0568327356347422,150,15000,0.004640373433053634
Llama-3.2-3B-Instruct,negpos,negative,22,0.5602415420383995,0.05706575289887143,150,15000,0.0046593992129995
Llama-3.2-3B-Instruct,negpos,negative,23,0.5442091742410214,0.058036767841975034,150,15000,0.004738682251106882
Llama-3.2-3B-Instruct,negpos,negative,24,0.5742574101100116,0.05437157960763051,150,15000,0.004439420884926998
Llama-3.2-3B-Instruct,negpos,negative,25,0.6194934359070304,0.0482901638634632,150,15000,0.003942875368695733
Llama-3.2-3B-Instruct,negpos,negative,26,0.7347728211733868,0.03627668824091976,150,15000,0.0029619791916092025
Llama-3.2-3B-Instruct,negpos,negative,27,0.7997736962607362,0.02975395174942474,150,15000,0.0024293999872493834
Llama-3.2-3B-Instruct,negpos,positive,0,0.9975756069632143,0.00030051342665296266,150,15000,2.45368185385019e-05
Llama-3.2-3B-Instruct,negpos,positive,1,0.9967138796028572,0.00026821871105855776,150,15000,2.1899966052015406e-05
Llama-3.2-3B-Instruct,negpos,positive,2,0.9946784782977539,0.00026713469513380597,150,15000,2.1811456522392302e-05
