model,category,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Llama-3.2-3B-Instruct,ideology,negpos,negative,0,0.5661509558560774,0.07261717877039482,50,5000,0.010269619907836395
Llama-3.2-3B-Instruct,ideology,negpos,negative,1,0.5069915356779732,0.05926333241505031,50,5000,0.00838110084527892
Llama-3.2-3B-Instruct,ideology,negpos,negative,2,0.47468236882791276,0.04605654275041261,50,5000,0.006513378739364977
Llama-3.2-3B-Instruct,ideology,negpos,negative,3,0.3974849139597238,0.03626276727311023,50,5000,0.00512832972868117
Llama-3.2-3B-Instruct,ideology,negpos,negative,4,0.2494023545399733,0.027939189277559024,50,5000,0.003951198039803293
Llama-3.2-3B-Instruct,ideology,negpos,negative,5,0.262598678185175,0.027566239493154482,50,5000,0.00389845497548439
Llama-3.2-3B-Instruct,ideology,negpos,negative,6,0.22320379599240867,0.023146325549680304,50,5000,0.003273384751146077
Llama-3.2-3B-Instruct,ideology,negpos,negative,7,0.23308486733681963,0.02936194997246473,50,5000,0.004152406786877994
Llama-3.2-3B-Instruct,ideology,negpos,negative,8,0.24011486686834818,0.036584038560917215,50,5000,0.005173764349922941
Llama-3.2-3B-Instruct,ideology,negpos,negative,9,0.22397981938376815,0.03061717395550363,50,5000,0.004329922264940953
Llama-3.2-3B-Instruct,ideology,negpos,negative,10,0.22700792296230646,0.028905699411653968,50,5000,0.004087883213784104
Llama-3.2-3B-Instruct,ideology,negpos,negative,11,0.23071993703076316,0.0345417671579854,50,5000,0.004884943558315651
Llama-3.2-3B-Instruct,ideology,negpos,negative,12,0.24416491453675082,0.039803426489565794,50,5000,0.005629054557046446
Llama-3.2-3B-Instruct,ideology,negpos,negative,13,0.2764782937258052,0.044814033787133195,50,5000,0.006337661436640988
Llama-3.2-3B-Instruct,ideology,negpos,negative,14,0.2799940683319873,0.04858162080176706,50,5000,0.006870478701992585
Llama-3.2-3B-Instruct,ideology,negpos,negative,15,0.2743613415817483,0.047043516269670946,50,5000,0.0066529578730288004
