model,category,concat_variant,reference_variant,mean_cos,std_across_pair_layers,n_pairs,n_layers,n_rows_total
Llama-3.2-3B-Instruct,ideology,negpos,negative,0.28664997868456243,0.09737815214345588,50,28,140000
Llama-3.2-3B-Instruct,ideology,negpos,positive,0.22352109892667138,0.0942828270419943,50,28,140000
Llama-3.2-3B-Instruct,ideology,posneg,negative,0.26297812564869777,0.10681639641367689,50,28,140000
Llama-3.2-3B-Instruct,ideology,posneg,positive,0.25095468641763324,0.09760490028809536,50,28,140000
Llama-3.2-3B-Instruct,linguistic_style,negpos,negative,0.29505982426273397,0.1278132184566542,50,28,140000
Llama-3.2-3B-Instruct,linguistic_style,negpos,positive,0.21083415303059513,0.12408395154147553,50,28,140000
Llama-3.2-3B-Instruct,linguistic_style,posneg,negative,0.2677604437402847,0.1299517328379338,50,28,140000
Llama-3.2-3B-Instruct,linguistic_style,posneg,positive,0.23477762903549124,0.12180409321140455,50,28,140000
Llama-3.2-3B-Instruct,semantic_framing,negpos,negative,0.24157966383007018,0.0926459206600828,50,28,140000
Llama-3.2-3B-Instruct,semantic_framing,negpos,positive,0.1731429262519542,0.10306469084118063,50,28,140000
Llama-3.2-3B-Instruct,semantic_framing,posneg,negative,0.20566433892698197,0.10544149285878295,50,28,140000
Llama-3.2-3B-Instruct,semantic_framing,posneg,positive,0.21603484420410568,0.09460425427566924,50,28,140000
Qwen2.5-1.5B-Instruct,ideology,negpos,negative,0.3845978404605979,0.12257316234898057,50,28,140000
Qwen2.5-1.5B-Instruct,ideology,negpos,positive,0.3284732059350719,0.13780643947554128,50,28,140000
Qwen2.5-1.5B-Instruct,ideology,posneg,negative,0.37813571051930595,0.12166920520122285,50,28,140000
Qwen2.5-1.5B-Instruct,ideology,posneg,positive,0.3315316930745015,0.13631575516107727,50,28,140000
Qwen2.5-1.5B-Instruct,linguistic_style,negpos,negative,0.42763492434530676,0.185196095616038,50,28,140000
Qwen2.5-1.5B-Instruct,linguistic_style,negpos,positive,0.3354973021146742,0.1842684240043172,50,28,140000
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,negative,0.4076761976232307,0.17845942295762998,50,28,140000
Qwen2.5-1.5B-Instruct,linguistic_style,posneg,positive,0.3575793865765954,0.19457151157359373,50,28,140000
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,negative,0.38450422809974805,0.16692782739601403,50,28,140000
Qwen2.5-1.5B-Instruct,semantic_framing,negpos,positive,0.3202344093922636,0.1784738989096079,50,28,140000
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,negative,0.3708129600171214,0.1613564373333353,50,28,140000
Qwen2.5-1.5B-Instruct,semantic_framing,posneg,positive,0.32919037567392684,0.1820944915947592,50,28,140000
Qwen2.5-3B-Instruct,ideology,negpos,negative,0.37958679227491465,0.17075704484533835,50,36,180000
Qwen2.5-3B-Instruct,ideology,negpos,positive,0.3624800005151059,0.180705280259678,50,36,180000
Qwen2.5-3B-Instruct,ideology,posneg,negative,0.37354333373035115,0.1690474121805267,50,36,180000
Qwen2.5-3B-Instruct,ideology,posneg,positive,0.365301390564304,0.18064772578385438,50,36,180000
Qwen2.5-3B-Instruct,linguistic_style,negpos,negative,0.5037584284336609,0.22696591845766925,50,36,180000
Qwen2.5-3B-Instruct,linguistic_style,negpos,positive,0.449550154968288,0.24612992598345795,50,36,180000
Qwen2.5-3B-Instruct,linguistic_style,posneg,negative,0.4880177531688661,0.22558042349233332,50,36,180000
Qwen2.5-3B-Instruct,linguistic_style,posneg,positive,0.4607619833934159,0.24724955953138794,50,36,180000
Qwen2.5-3B-Instruct,semantic_framing,negpos,negative,0.42019150412552636,0.21506720561893297,50,36,180000
Qwen2.5-3B-Instruct,semantic_framing,negpos,positive,0.3703572995006503,0.22969112654702872,50,36,180000
Qwen2.5-3B-Instruct,semantic_framing,posneg,negative,0.41299519074873975,0.21238538333455978,50,36,180000
Qwen2.5-3B-Instruct,semantic_framing,posneg,positive,0.3767886170375528,0.2317707182273483,50,36,180000
