model,category,pair_slug,concat_variant,reference_variant,layer,mean_cos,std_across_rows,n_rows_total
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,0,0.5018262543771641,0.12674216149766912,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,1,0.46271151571509284,0.11923255673117053,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,2,0.45006474040184086,0.11976831677932892,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,3,0.4092290578067084,0.10979732413998926,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,4,0.24915636482437606,0.1897646041576184,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,5,0.26652303822647655,0.22536201637323852,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,6,0.23223728842479915,0.27887767981522316,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,7,0.24952349481033323,0.3025282509978481,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,8,0.2528384525240776,0.29259911713762976,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,9,0.23244754548395774,0.3098575776768571,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,10,0.2456366847612182,0.30399044164832884,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,11,0.24484075528128088,0.25922450602128216,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,12,0.24456236707183002,0.2305111517618756,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,13,0.2697302059508345,0.20920817924888077,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,14,0.29794366763854446,0.19558874290437697,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,15,0.28329544205974516,0.18101681615459855,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,16,0.287263353563035,0.17795442505857276,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,17,0.2742623201564803,0.1727168907324463,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,18,0.26565544665769103,0.1725255580723015,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,19,0.2767191949506083,0.1671392234196064,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,20,0.29324364964375105,0.16686713980245862,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,21,0.30295551548975214,0.17596992690394703,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,22,0.32097578812691985,0.17953491755659537,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,23,0.3165541597586723,0.17681097470050788,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,24,0.3069251025557714,0.1724742581653551,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,25,0.29903578013744614,0.17363636519027784,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,26,0.27244146980698336,0.16387564443266267,100
Llama-3.2-3B-Instruct,ideology,ideology__centralization_support__decentralization_support,negpos,negative,27,0.27292042091365026,0.1586270563696765,100
