model,concat_variant,reference_variant,layer,mean_cos,std_across_pairs,n_pairs,n_rows_total,sem_across_pairs
Llama-3.2-3B-Instruct,negpos,negative,0,0.5011408427756247,0.1167592116704063,150,15000,0.00953334971207034
Llama-3.2-3B-Instruct,negpos,negative,1,0.4537458791944793,0.09356644079844653,150,15000,0.007639667900150809
Llama-3.2-3B-Instruct,negpos,negative,2,0.44523499011203826,0.06683113189362958,150,15000,0.005456739069067846
Llama-3.2-3B-Instruct,negpos,negative,3,0.38375264856732483,0.0407121489261124,150,15000,0.0033241330400391165
Llama-3.2-3B-Instruct,negpos,negative,4,0.23403486019681685,0.03163921666252353,150,15000,0.0025833312228182
Llama-3.2-3B-Instruct,negpos,negative,5,0.2548394639888023,0.04992883322732367,150,15000,0.004076672161982042
Llama-3.2-3B-Instruct,negpos,negative,6,0.23381683573858317,0.05473787427489711,150,15000,0.004469328719270522
Llama-3.2-3B-Instruct,negpos,negative,7,0.24706072960680048,0.06463830184446928,150,15000,0.00527769524529835
Llama-3.2-3B-Instruct,negpos,negative,8,0.24687218579595704,0.06685250654828268,150,15000,0.005458484302312122
Llama-3.2-3B-Instruct,negpos,negative,9,0.24588791631369603,0.07790573257197103,150,15000,0.006360976427968412
Llama-3.2-3B-Instruct,negpos,negative,10,0.2549107869725923,0.08590301858418818,150,15000,0.0070139520965360564
Llama-3.2-3B-Instruct,negpos,negative,11,0.25426887833852396,0.08987955329345422,150,15000,0.007338634795941671
Llama-3.2-3B-Instruct,negpos,negative,12,0.25202093608987547,0.08259423608967636,150,15000,0.006743791137155815
Llama-3.2-3B-Instruct,negpos,negative,13,0.2768845896150614,0.08237418650919143,150,15000,0.006725824164145762
Llama-3.2-3B-Instruct,negpos,negative,14,0.2754944572323954,0.08357326528945093,150,15000,0.006823728536580249
Llama-3.2-3B-Instruct,negpos,negative,15,0.26763579789483977,0.07997799282328276,150,15000,0.006530175768967259
Llama-3.2-3B-Instruct,negpos,negative,16,0.26510610944322316,0.08747953658374949,150,15000,0.007142674252177339
Llama-3.2-3B-Instruct,negpos,negative,17,0.25525355662132737,0.0889675762335858,150,15000,0.007264172180814962
