feature_mode,category_key,n_features,n,positive_rate,balanced_accuracy,f1,roc_auc,average_precision
shared,ideology,28,10000,0.3814,0.5203252993929999,0.34245939675174014,0.5333118103686946,0.40903903912073836
shared,linguistic_style,28,10000,0.1708,0.49605810628680785,0.0371859296482412,0.5340889641662458,0.18258087919181581
shared,semantic_framing,28,10000,0.9605,0.49928768639751187,0.9779208831646734,0.5112126463669371,0.9620240231704247
contrast,ideology,28,10000,0.3814,0.5237349811837241,0.43875950283576687,0.527402192578909,0.4011735726460536
contrast,linguistic_style,28,10000,0.1708,0.5303458314834083,0.24214596423392942,0.5637348602699366,0.18473322350443214
contrast,semantic_framing,28,10000,0.9605,0.47083665548665976,0.8762356662712535,0.4907596913527369,0.961542614212701
abs_contrast,ideology,28,10000,0.3814,0.504539658626623,0.4531114952463267,0.5068435228761394,0.3833052409703004
abs_contrast,linguistic_style,28,10000,0.1708,0.5698917214865828,0.30395502911062033,0.6200189003028793,0.2332307162236787
abs_contrast,semantic_framing,28,10000,0.9605,0.49442339498810617,0.7890605837625705,0.4974060187534182,0.958490598969947
contrast_clean,ideology,28,10000,0.3814,0.5361609541378598,0.4391227627930426,0.5501883492521893,0.4180861097332468
contrast_clean,linguistic_style,28,10000,0.1708,0.522308683858825,0.225,0.5499296887268109,0.18180628206023366
contrast_clean,semantic_framing,28,10000,0.9605,0.49367220395495487,0.931038181038181,0.5244375621874156,0.9632774732488125
abs_contrast_clean,ideology,28,10000,0.3814,0.5063827161184542,0.42539081004263385,0.5153862494788798,0.3884991834394538
abs_contrast_clean,linguistic_style,28,10000,0.1708,0.5442086896204237,0.2614347616754935,0.5507615195256058,0.19571051276606816
abs_contrast_clean,semantic_framing,28,10000,0.9605,0.5023781126654762,0.8773478162480199,0.5251536976390198,0.9638669696390686
contrast_clean_signed_abs,ideology,56,10000,0.3814,0.5310550779361893,0.4328414680287552,0.5405517152166767,0.40695722667354756
contrast_clean_signed_abs,linguistic_style,56,10000,0.1708,0.5278016902948696,0.2336543335022808,0.5330619027283994,0.1808464844293624
contrast_clean_signed_abs,semantic_framing,56,10000,0.9605,0.49588360492623174,0.918531392570063,0.5221426076871882,0.9631982195284556
shared_contrast_clean,ideology,84,10000,0.3814,0.5324479248522171,0.38350575550050997,0.5472095506015155,0.42262443670078864
shared_contrast_clean,linguistic_style,84,10000,0.1708,0.5012602084794915,0.09059233449477352,0.5245557073153096,0.17937056934416412
shared_contrast_clean,semantic_framing,84,10000,0.9605,0.49968766267568976,0.9795397724373692,0.5160927523244091,0.9632110243434763
all_decomposition,ideology,140,10000,0.3814,0.5293629524590856,0.36506497431248114,0.5536927185242113,0.4230665019519012
all_decomposition,linguistic_style,140,10000,0.1708,0.5001474291408101,0.1286549707602339,0.49184338393372573,0.1689889303645451
all_decomposition,semantic_framing,140,10000,0.9605,0.5024604801033217,0.9774436090225563,0.5280514499963758,0.9634467229044832
