model,category_key,n,positive_rate,accuracy,balanced_accuracy,f1,roc_auc,average_precision
contrast_clean_signed_abs__dummy_prior,ideology,10000,0.3814,0.4124,0.4323115901376503,0.40126350112084774,0.42305900411826963,0.34120223064821914
contrast_clean_signed_abs__dummy_prior,linguistic_style,10000,0.1708,0.3482,0.3947519744772479,0.19610261470152934,0.32346631328861886,0.13148597740325638
contrast_clean_signed_abs__dummy_prior,semantic_framing,10000,0.9605,0.5541,0.49235630176793466,0.7067412035514633,0.4963626539447413,0.9610921621065036
contrast_clean_signed_abs__logistic,ideology,10000,0.3814,0.5503,0.5310550779361893,0.4328414680287552,0.5405517152166767,0.40695722667354756
contrast_clean_signed_abs__logistic,linguistic_style,10000,0.1708,0.6976,0.5278016902948696,0.2336543335022808,0.5330619027283994,0.1808464844293624
contrast_clean_signed_abs__logistic,semantic_framing,10000,0.9605,0.85,0.49588360492623174,0.918531392570063,0.5221426076871882,0.9631982195284556
contrast_clean_signed_abs__gradient_boosting,ideology,10000,0.3814,0.5371,0.5242564828712296,0.43651856360316493,0.5342961532808068,0.4071781645876377
contrast_clean_signed_abs__gradient_boosting,linguistic_style,10000,0.1708,0.655,0.5223366445579443,0.2410910690717114,0.5201371401683967,0.17579137066631284
contrast_clean_signed_abs__gradient_boosting,semantic_framing,10000,0.9605,0.8055,0.489711318603839,0.8915770109816601,0.521473652303982,0.962523813072747
contrast_clean_signed_abs__rbf_features_logistic,ideology,10000,0.3814,0.5473,0.5349640518171943,0.44866642309097554,0.5451912322613557,0.4133671654975388
contrast_clean_signed_abs__rbf_features_logistic,linguistic_style,10000,0.1708,0.6898,0.5423909617463745,0.25966587112171835,0.5658280292734398,0.2044845403840465
contrast_clean_signed_abs__rbf_features_logistic,semantic_framing,10000,0.9605,0.8385,0.48625583985134324,0.9117630989455281,0.5074785679926727,0.9618585992155291
shared_contrast_clean__dummy_prior,ideology,10000,0.3814,0.4124,0.4323115901376503,0.40126350112084774,0.42305900411826963,0.34120223064821914
shared_contrast_clean__dummy_prior,linguistic_style,10000,0.1708,0.3482,0.3947519744772479,0.19610261470152934,0.32346631328861886,0.13148597740325638
shared_contrast_clean__dummy_prior,semantic_framing,10000,0.9605,0.5541,0.49235630176793466,0.7067412035514633,0.4963626539447413,0.9610921621065036
shared_contrast_clean__logistic,ideology,10000,0.3814,0.5769,0.5324479248522171,0.38350575550050997,0.5472095506015155,0.42262443670078864
shared_contrast_clean__logistic,linguistic_style,10000,0.1708,0.7912,0.5012602084794915,0.09059233449477352,0.5245557073153096,0.17937056934416412
shared_contrast_clean__logistic,semantic_framing,10000,0.9605,0.9599,0.49968766267568976,0.9795397724373692,0.5160927523244091,0.9632110243434763
shared_contrast_clean__gradient_boosting,ideology,10000,0.3814,0.5827,0.5291432724163075,0.35671342685370744,0.540700951842303,0.4168636894253252
shared_contrast_clean__gradient_boosting,linguistic_style,10000,0.1708,0.7307,0.4856989496944658,0.12593313859136643,0.46694918270029173,0.15768855505093038
shared_contrast_clean__gradient_boosting,semantic_framing,10000,0.9605,0.9067,0.49626908453534885,0.9509644189835497,0.48413550431934843,0.9602094100370298
shared_contrast_clean__rbf_features_logistic,ideology,10000,0.3814,0.563,0.5306130476127989,0.40753796095444683,0.5451109132026901,0.41873932998424
shared_contrast_clean__rbf_features_logistic,linguistic_style,10000,0.1708,0.7649,0.5167810795880118,0.16896429833863555,0.5339702724106415,0.19107237160926982
shared_contrast_clean__rbf_features_logistic,semantic_framing,10000,0.9605,0.9423,0.5014496669060813,0.9702653955166194,0.5117730085200878,0.9627016652035634
all_decomposition__dummy_prior,ideology,10000,0.3814,0.4124,0.4323115901376503,0.40126350112084774,0.42305900411826963,0.34120223064821914
all_decomposition__dummy_prior,linguistic_style,10000,0.1708,0.3482,0.3947519744772479,0.19610261470152934,0.32346631328861886,0.13148597740325638
all_decomposition__dummy_prior,semantic_framing,10000,0.9605,0.5541,0.49235630176793466,0.7067412035514633,0.4963626539447413,0.9610921621065036
all_decomposition__logistic,ideology,10000,0.3814,0.5798,0.5293629524590856,0.36506497431248114,0.5536927185242113,0.4230665019519012
all_decomposition__logistic,linguistic_style,10000,0.1708,0.7616,0.5001474291408101,0.1286549707602339,0.49184338393372573,0.1689889303645451
all_decomposition__logistic,semantic_framing,10000,0.9605,0.9559,0.5024604801033217,0.9774436090225563,0.5280514499963758,0.9634467229044832
all_decomposition__gradient_boosting,ideology,10000,0.3814,0.5789,0.5292889911095491,0.3670524575379528,0.5396924284431361,0.414791512889554
all_decomposition__gradient_boosting,linguistic_style,10000,0.1708,0.7346,0.4892128187660915,0.13040629095674966,0.48665946325625214,0.16268793762674333
all_decomposition__gradient_boosting,semantic_framing,10000,0.9605,0.9117,0.4988718955712676,0.9537138963149342,0.4792356301767935,0.9593004357710171
all_decomposition__rbf_features_logistic,ideology,10000,0.3814,0.5683,0.5430403768782156,0.43546488819144763,0.5584661713078791,0.43352585027414703
all_decomposition__rbf_features_logistic,linguistic_style,10000,0.1708,0.7577,0.509650254018715,0.1578032672923184,0.5512260484132444,0.18698970919094451
all_decomposition__rbf_features_logistic,semantic_framing,10000,0.9605,0.9224,0.5044419111881339,0.9595496246872394,0.4919629148847844,0.961987876444476
