model,n_features,n_pairs,split,n,positive_rate,balanced_accuracy,f1,roc_auc,average_precision,feature_mode
rbf_features_logistic,56,150,GroupKFold(pair_slug),30000,0.5042333333333333,0.6917175676117688,0.698931735278791,0.754275740948559,0.7488525498476777,contrast_clean_signed_abs
logistic,56,150,GroupKFold(pair_slug),30000,0.5042333333333333,0.6992691289412476,0.7021494370522006,0.7534358229617268,0.7437241910332207,contrast_clean_signed_abs
gradient_boosting,56,150,GroupKFold(pair_slug),30000,0.5042333333333333,0.6657168326524171,0.673485342019544,0.7110649500736876,0.6803400999799634,contrast_clean_signed_abs
dummy_prior,56,150,GroupKFold(pair_slug),30000,0.5042333333333333,0.43738217794288015,0.4912609050019621,0.4170340526321551,0.45807811198519205,contrast_clean_signed_abs
logistic,84,150,GroupKFold(pair_slug),30000,0.5042333333333333,0.7764061762454074,0.766325891925725,0.8410358180742654,0.8672370208532234,shared_contrast_clean
rbf_features_logistic,84,150,GroupKFold(pair_slug),30000,0.5042333333333333,0.7568976577880998,0.7535292131036812,0.8299312931636775,0.852762623879953,shared_contrast_clean
gradient_boosting,84,150,GroupKFold(pair_slug),30000,0.5042333333333333,0.7404829366634909,0.7272600104913446,0.813353491459839,0.8387729300297391,shared_contrast_clean
dummy_prior,84,150,GroupKFold(pair_slug),30000,0.5042333333333333,0.43738217794288015,0.4912609050019621,0.4170340526321551,0.45807811198519205,shared_contrast_clean
logistic,140,150,GroupKFold(pair_slug),30000,0.5042333333333333,0.7661306196478413,0.7568932710603702,0.8331773969699365,0.8608064379803075,all_decomposition
rbf_features_logistic,140,150,GroupKFold(pair_slug),30000,0.5042333333333333,0.7496028104165743,0.7470041739598762,0.8218136312535933,0.8384281057005157,all_decomposition
gradient_boosting,140,150,GroupKFold(pair_slug),30000,0.5042333333333333,0.7421302791967697,0.7308039747064138,0.8147747533422074,0.839371828259091,all_decomposition
dummy_prior,140,150,GroupKFold(pair_slug),30000,0.5042333333333333,0.43738217794288015,0.4912609050019621,0.4170340526321551,0.45807811198519205,all_decomposition
