model,category_key,n,positive_rate,accuracy,balanced_accuracy,f1,roc_auc,average_precision
pair_centered_pos_neg__dummy_prior,ideology,10000,0.3814,0.4124,0.4323115901376503,0.40126350112084774,0.42305900411826963,0.34120223064821914
pair_centered_pos_neg__dummy_prior,linguistic_style,10000,0.1708,0.3482,0.3947519744772479,0.19610261470152934,0.32346631328861886,0.13148597740325638
pair_centered_pos_neg__dummy_prior,semantic_framing,10000,0.9605,0.5541,0.49235630176793466,0.7067412035514633,0.4963626539447413,0.9610921621065036
pair_centered_pos_neg__gradient_boosting,ideology,10000,0.3814,0.5763,0.5366379094767334,0.39943302622253724,0.5610332871000725,0.42753937863347546
pair_centered_pos_neg__gradient_boosting,linguistic_style,10000,0.1708,0.7859,0.5220057762850342,0.16203522504892368,0.5482192847483707,0.20469418308337783
pair_centered_pos_neg__gradient_boosting,semantic_framing,10000,0.9605,0.9039,0.5033078763038765,0.9493810903344746,0.516344467214465,0.9622641499203249
pair_centered_pos_neg__logistic,ideology,10000,0.3814,0.5567,0.5559332176060733,0.4874551971326165,0.5781713397524155,0.4446877786923084
pair_centered_pos_neg__logistic,linguistic_style,10000,0.1708,0.5181,0.5204442136039251,0.27084279013466483,0.5279715021165402,0.1857470871145779
pair_centered_pos_neg__logistic,semantic_framing,10000,0.9605,0.5211,0.5467899762122839,0.6754760452666532,0.5572738354891638,0.9666983120276984
pair_centered_pos_neg__rbf_features_logistic,ideology,10000,0.3814,0.5692,0.5462812402991954,0.44326699405531145,0.5640418822141985,0.43118430301849925
pair_centered_pos_neg__rbf_features_logistic,linguistic_style,10000,0.1708,0.7563,0.5218227607998907,0.18847818847818848,0.5558346918279067,0.20384377221457461
pair_centered_pos_neg__rbf_features_logistic,semantic_framing,10000,0.9605,0.8496,0.5005304462997252,0.9182608695652174,0.5147456164049579,0.9618630878753018
pair_centered_pos_neg_plus_trajectory__dummy_prior,ideology,10000,0.3814,0.4124,0.4323115901376503,0.40126350112084774,0.42305900411826963,0.34120223064821914
pair_centered_pos_neg_plus_trajectory__dummy_prior,linguistic_style,10000,0.1708,0.3482,0.3947519744772479,0.19610261470152934,0.32346631328861886,0.13148597740325638
pair_centered_pos_neg_plus_trajectory__dummy_prior,semantic_framing,10000,0.9605,0.5541,0.49235630176793466,0.7067412035514633,0.4963626539447413,0.9610921621065036
pair_centered_pos_neg_plus_trajectory__gradient_boosting,ideology,10000,0.3814,0.5745,0.5348311333116662,0.3972234027482646,0.5581069607420786,0.42493327803184866
pair_centered_pos_neg_plus_trajectory__gradient_boosting,linguistic_style,10000,0.1708,0.7894,0.5283001815468423,0.176056338028169,0.5421277357708285,0.20437562066872103
pair_centered_pos_neg_plus_trajectory__gradient_boosting,semantic_framing,10000,0.9605,0.8992,0.5105713664428468,0.9467286756156854,0.5283861912637801,0.963287199126475
pair_centered_pos_neg_plus_trajectory__logistic,ideology,10000,0.3814,0.5122,0.5134802930513969,0.4479402444545043,0.5237533761554712,0.40873288092161725
pair_centered_pos_neg_plus_trajectory__logistic,linguistic_style,10000,0.1708,0.6438,0.494663460506501,0.20455560518088434,0.49833662083371466,0.17106054481108265
pair_centered_pos_neg_plus_trajectory__logistic,semantic_framing,10000,0.9605,0.729,0.5081491048306854,0.8413163133856424,0.524850058316146,0.9636499948221049
pair_centered_pos_neg_plus_trajectory__rbf_features_logistic,ideology,10000,0.3814,0.5579,0.539409785887615,0.4432691096839189,0.5549585384118375,0.4259149926286364
pair_centered_pos_neg_plus_trajectory__rbf_features_logistic,linguistic_style,10000,0.1708,0.7444,0.5195284300999468,0.19216182048040456,0.5438584748031736,0.19572808825652366
pair_centered_pos_neg_plus_trajectory__rbf_features_logistic,semantic_framing,10000,0.9605,0.8397,0.509942079217707,0.9122941401761777,0.5210221469566878,0.9636250625557577
