category_key,pair_slug,concept_label,variant,statement_index,statement,success,tsne_1,tsne_2,feature_mode,n_features,perplexity
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,0,Your future self is watching your choices today.,1,-28.927395,-31.710377,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,1,You don’t have to attend every argument you’re invited to.,0,-50.435005,-22.705404,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,2,"Happiness is a side effect, not a goal.",1,56.36391,6.7193356,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,3,The only way out is through.,1,44.510082,-10.663791,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,4,Small daily choices shape your entire life.,1,44.873142,-11.159184,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,5,Most things aren’t as important as they seem.,0,43.268154,-12.40113,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,6,Comfort zones feel safe but keep you stuck.,0,16.728752,-45.780693,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,7,Letting go is sometimes the best form of control.,0,-6.71301,-47.8942,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,8,Your opinion of yourself matters more than others’ opinions of you.,0,-51.896233,-22.038832,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,9,The fear of failure keeps more people stuck than failure itself.,1,45.582085,-47.39944,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,10,You are not behind; you’re on your own timeline.,0,-4.3774056,-47.318417,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,11,The quality of your life depends on the quality of your thoughts.,0,43.526917,-10.577373,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,12,Everything you admire in others exists within you.,0,18.198875,-43.84016,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,13,Your ego is not your friend.,0,-29.07852,-30.7413,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,14,Time reveals everything.,0,45.764538,-11.352115,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,15,Nothing changes if nothing changes.,0,45.948574,-47.131855,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,16,People don’t change until the pain of staying the same is greater than the pain of changing.,0,43.44579,-12.214272,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,17,A beautiful life is built on ordinary moments.,1,45.106358,-47.528458,pos_neg,56,35
