category_key,pair_slug,concept_label,variant,statement_index,statement,success,tsne_1,tsne_2,feature_mode,n_features,perplexity
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,0,Your future self is watching your choices today.,1,-35.34901,-62.682293,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,1,You don’t have to attend every argument you’re invited to.,0,-54.007957,-53.407085,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,2,"Happiness is a side effect, not a goal.",1,45.408283,-60.01185,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,3,The only way out is through.,1,33.339806,-69.448685,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,4,Small daily choices shape your entire life.,1,33.332638,-70.05331,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,5,Most things aren’t as important as they seem.,0,31.749298,-70.14277,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,6,Comfort zones feel safe but keep you stuck.,0,6.6756454,-83.16599,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,7,Letting go is sometimes the best form of control.,0,-15.887359,-73.81665,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,8,Your opinion of yourself matters more than others’ opinions of you.,0,-55.285255,-53.733654,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,9,The fear of failure keeps more people stuck than failure itself.,1,27.963333,-76.2829,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,10,You are not behind; you’re on your own timeline.,0,-17.9231,-75.03973,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,11,The quality of your life depends on the quality of your thoughts.,0,32.719414,-68.61553,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,12,Everything you admire in others exists within you.,0,4.708509,-72.94182,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,13,Your ego is not your friend.,0,-35.718422,-64.496765,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,14,Time reveals everything.,0,33.815205,-70.82793,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,15,Nothing changes if nothing changes.,0,28.683641,-75.521194,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,16,People don’t change until the pain of staying the same is greater than the pain of changing.,0,32.088078,-70.076294,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,17,A beautiful life is built on ordinary moments.,1,27.530499,-76.51537,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,18,"Most suffering comes from attachment, not circumstances.",1,33.935043,-70.96698,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,19,People treat you how you let them.,0,32.54175,-68.17282,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,20,Silence can be an answer.,0,44.759808,-59.691525,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,21,Difficult conversations create deeper connections.,1,33.5372,-69.45765,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,22,Your potential is limited by your willingness to grow.,1,-32.85956,-75.71674,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,23,Everything you want is on the other side of fear.,0,17.96884,-76.22058,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,24,Regret is a heavier burden than failure.,0,2.7184193,-71.72096,pos_neg,56,35
ideology,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,negpos,25,You don’t need to explain yourself to everyone.,1,-54.914356,-53.902573,pos_neg,56,35
