category_key,category_name,pair_slug,concept_label,positive_concept,negative_concept,direction,num_layers,hidden_dim,path
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__centralization_support__decentralization_support/base_to_neg.npy
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__centralization_support__decentralization_support/base_to_pos.npy
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__centralization_support__decentralization_support/neg_to_pos.npy
ideology,IDEOLOGY,ideology__centralization_support__decentralization_support,centralization-support vs decentralization-support,centralization-support,decentralization-support,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__centralization_support__decentralization_support/pos_to_neg.npy
ideology,IDEOLOGY,ideology__collective_benefit__personal_benefit,collective-benefit vs personal-benefit,collective-benefit,personal-benefit,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__collective_benefit__personal_benefit/base_to_neg.npy
ideology,IDEOLOGY,ideology__collective_benefit__personal_benefit,collective-benefit vs personal-benefit,collective-benefit,personal-benefit,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__collective_benefit__personal_benefit/base_to_pos.npy
ideology,IDEOLOGY,ideology__collective_benefit__personal_benefit,collective-benefit vs personal-benefit,collective-benefit,personal-benefit,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__collective_benefit__personal_benefit/neg_to_pos.npy
ideology,IDEOLOGY,ideology__collective_benefit__personal_benefit,collective-benefit vs personal-benefit,collective-benefit,personal-benefit,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__collective_benefit__personal_benefit/pos_to_neg.npy
ideology,IDEOLOGY,ideology__collective_responsibility__individual_responsibility,collective-responsibility vs individual-responsibility,collective-responsibility,individual-responsibility,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__collective_responsibility__individual_responsibility/base_to_neg.npy
ideology,IDEOLOGY,ideology__collective_responsibility__individual_responsibility,collective-responsibility vs individual-responsibility,collective-responsibility,individual-responsibility,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__collective_responsibility__individual_responsibility/base_to_pos.npy
ideology,IDEOLOGY,ideology__collective_responsibility__individual_responsibility,collective-responsibility vs individual-responsibility,collective-responsibility,individual-responsibility,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__collective_responsibility__individual_responsibility/neg_to_pos.npy
ideology,IDEOLOGY,ideology__collective_responsibility__individual_responsibility,collective-responsibility vs individual-responsibility,collective-responsibility,individual-responsibility,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__collective_responsibility__individual_responsibility/pos_to_neg.npy
ideology,IDEOLOGY,ideology__collective_security__civil_liberty,collective-security vs civil-liberty,collective-security,civil-liberty,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__collective_security__civil_liberty/base_to_neg.npy
ideology,IDEOLOGY,ideology__collective_security__civil_liberty,collective-security vs civil-liberty,collective-security,civil-liberty,base_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__collective_security__civil_liberty/base_to_pos.npy
ideology,IDEOLOGY,ideology__collective_security__civil_liberty,collective-security vs civil-liberty,collective-security,civil-liberty,neg_to_pos,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__collective_security__civil_liberty/neg_to_pos.npy
ideology,IDEOLOGY,ideology__collective_security__civil_liberty,collective-security vs civil-liberty,collective-security,civil-liberty,pos_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__collective_security__civil_liberty/pos_to_neg.npy
ideology,IDEOLOGY,ideology__collective_welfare__individual_liberty,collective-welfare vs individual-liberty,collective-welfare,individual-liberty,base_to_neg,35,2048,contrastive_hidden_states/data/steering_vectors/Qwen2.5-3B-Instruct/ideology/ideology__collective_welfare__individual_liberty/base_to_neg.npy
